"predicts","actual"
"602.9702196968708","704.2000122070312"
"574.6701058594608","708.3499755859375"
"582.8275854748974","714.9099731445312"
"584.4149729276695","712.239990234375"
"588.5073513656006","722.7899780273438"
"592.8158428893471","719.4400024414062"
"595.2911884917927","728.239990234375"
"597.6333052884942","725.5399780273438"
"597.9571240842857","726.72998046875"
"600.6653350450268","723.739990234375"
"599.5848573241825","726.6400146484375"
"600.6842361692123","727.6500244140625"
"600.8339979768543","717.9099731445312"
"596.1736210227947","715.239990234375"
"594.1773377883377","719.2999877929688"
"595.4598952777367","714.260009765625"
"595.7821353253364","717.510009765625"
"593.221361904066","706.3900146484375"
"589.1471390703412","714.010009765625"
"594.0642380220394","715.8200073242188"
"595.0623577122097","710.5999755859375"
"592.9713495862427","722.0800170898438"
"596.9224300610047","698.9600219726562"
"581.6997014541816","691.3599853515625"
"576.7694901216679","707.9500122070312"
"586.9298749431439","715.5999755859375"
"594.671222847683","715.6199951171875"
"594.4822116058274","725.6799926757812"
"598.863106275816","728.0999755859375"
"600.5386405026321","737.6099853515625"
"604.1894079880142","736.5700073242188"
"607.2684055032539","745.8099975585938"
"611.4816897402096","753.780029296875"
"617.1610170897484","748.2100219726562"
"614.3007639073105","742.6300048828125"
"613.135910866436","741.2000122070312"
"612.3515361397934","735.4400024414062"
"609.5805260843106","736.0700073242188"
"607.0711058333912","739.9500122070312"
"608.9743306327629","745.719970703125"
"613.1338058688469","744.4299926757812"
"613.8430146399116","744.8599853515625"
"614.5723085963059","739.6099853515625"
"611.2797415340042","735.5900268554688"
"609.1195754664116","736.6699829101562"
"608.7366413216591","752.6099853515625"
"613.6769391009541","758.8099975585938"
"620.8289315346585","767.739990234375"
"624.5265352163983","760.5800170898438"
"622.5145083541394","754.6400146484375"
"618.7811197133847","760.77001953125"
"620.686098677414","765.97998046875"
"625.6897656549645","766.5599975585938"
"625.5749117240086","768.3099975585938"
"628.3178989990864","768.5599975585938"
"628.3945121405068","771.239990234375"
"629.8164380119515","772.5599975585938"
"629.8824823113099","768.489990234375"
"628.9925507263966","764.0399780273438"
"626.9103134237175","764.6300048828125"
"625.4266409563255","764.4600219726562"
"625.8680764924088","757.3099975585938"
"622.7386467432633","759.47998046875"
"621.9734362655049","762.4500122070312"
"625.6667422438336","757.25"
"623.0351005703965","759.219970703125"
"622.5835785875321","769.0"
"626.7967312621385","771.2899780273438"
"630.2137563068962","767.5800170898438"
"628.7878835649719","769.1599731445312"
"628.3192584766961","770.6199951171875"
"629.757059538292","772.4400024414062"
"631.689622741562","788.8699951171875"
"636.1230984971619","784.47998046875"
"639.3622073915234","784.0599975585938"
"637.8346369535752","760.1400146484375"
"627.0106516421318","771.489990234375"
"626.2119804735298","761.010009765625"
"624.9244236148568","761.0900268554688"
"624.3690112301465","769.6900024414062"
"626.1847909213371","778.52001953125"
"631.5776193281746","775.0999755859375"
"632.3976035973664","780.219970703125"
"634.5982031603165","789.739990234375"
"638.6205027201768","804.7000122070312"
"646.7488193481809","805.75"
"649.5569738402882","799.1599731445312"
"647.1060988348161","816.1099853515625"
"652.4859464231873","828.719970703125"
"660.2963645611192","829.0499877929688"
"663.0054087500725","837.3099975585938"
"666.8337854070359","836.739990234375"
"667.3214870359631","834.030029296875"
"667.6303515780487","844.3599853515625"
"670.6413752128068","841.6599731445312"
"671.6933477579652","839.4299926757812"
"671.0471573522244","841.7100219726562"
"672.1109705088215","831.0"
"666.4314238887006","834.0900268554688"
"667.0371807990838","829.280029296875"
"662.8532788201428","822.9600219726562"
"663.3984731957227","812.9500122070312"
"655.9619991086731","817.6500244140625"
"658.6208741884194","817.6900024414062"
"657.9937164692135","810.3200073242188"
"652.8217812468835","818.989990234375"
"656.0413750594292","838.0900268554688"
"665.3850646704465","835.1799926757812"
"668.3209662037431","822.5900268554688"
"661.3928051803475","818.3599853515625"
"658.105544466135","776.3200073242188"
"629.6132618904858","789.8200073242188"
"637.3486017810726","785.4099731445312"
"637.7937649170533","765.5599975585938"
"628.1443682603341","767.030029296875"
"626.5452717584725","755.0499877929688"
"619.3290330441837","784.9299926757812"
"632.893023550787","787.75"
"636.6549173672275","771.8800048828125"
"623.94559973592","742.3800048828125"
"609.928157665329","739.010009765625"
"604.6556649540024","719.0700073242188"
"598.6791382573509","743.239990234375"
"605.7867941793346","746.489990234375"
"610.1436567935143","756.4000244140625"
"616.6778324348145","760.1599731445312"
"621.144461902443","780.0"
"628.8327901802063","785.3300170898438"
"635.9705300260678","780.1199951171875"
"631.9731834584618","780.3699951171875"
"635.7295516562309","766.77001953125"
"626.9382046417733","762.52001953125"
"624.6815156638966","750.5700073242188"
"618.9946892604465","743.6500244140625"
"612.4162209615422","740.3400268554688"
"610.7049894839439","759.3599853515625"
"617.6496835092373","764.719970703125"
"623.8207032122993","770.4199829101562"
"625.0048520644074","767.3300170898438"
"627.4729617376404","768.6599731445312"
"627.3244278452587","760.1199951171875"
"623.2423989788075","774.3400268554688"
"628.688773261818","768.8200073242188"
"627.7820894044247","761.0"
"623.8328069484368","757.77001953125"
"621.0963977908249","766.0"
"624.2101716204014","771.219970703125"
"628.9455829676896","770.5999755859375"
"628.1384918087311","766.3400268554688"
"626.6328045748863","760.5900268554688"
"623.7926365777779","771.4000244140625"
"627.9316757956009","772.1300048828125"
"631.1094766351796","765.1500244140625"
