"predicts","actual"
"139.33916909109473","127.0999984741211"
"142.2171044841044","128.69000244140625"
"142.1166670179161","127.20999908447266"
"141.5645438577875","127.7699966430664"
"142.08852136873793","128.35000610351562"
"142.34808241394043","129.07000732421875"
"142.23899993068338","128.64999389648438"
"142.34156904491604","128.63999938964844"
"142.0821264246049","129.94000244140625"
"142.74447684194027","130.0800018310547"
"143.4634080406997","127.95999908447266"
"142.2874751862104","127.30999755859375"
"141.9065417856927","128.69000244140625"
"142.19281422305585","129.22999572753906"
"142.80057076547766","128.08999633789062"
"142.66248734216046","128.27000427246094"
"142.47181010876142","128.77000427246094"
"142.7667670381571","128.19000244140625"
"142.84275634344172","128.47000122070312"
"142.8824813153299","128.74000549316406"
"143.09181704827762","128.99000549316406"
"143.35766777104305","130.24000549316406"
"144.0692697848599","128.8800048828125"
"143.96839809406995","129.0500030517578"
"143.89363251266263","127.81999969482422"
"143.05851333716498","127.87999725341797"
"143.1194363646053","127.54000091552734"
"142.9014424562676","128.57000732421875"
"143.26562531381953","130.11000061035156"
"143.8192485225719","130.0"
"144.33510734930408","132.07000732421875"
"145.00424746041034","133.27999877929688"
"146.32943515296782","132.2899932861328"
"146.7708573563242","131.0399932861328"
"146.27002533247256","129.69000244140625"
"145.62142536085534","131.2899932861328"
"145.7032964357438","130.99000549316406"
"145.90098705437518","129.5"
"145.16476582147826","127.16999816894531"
"143.58549094536303","120.0"
"138.55232779630518","120.75"
"136.71489981536246","122.1500015258789"
"136.75425635425532","124.22000122070312"
"136.98188215375637","123.18000030517578"
"136.28341214455844","120.80000305175781"
"134.6819523387965","119.0199966430664"
"133.6096149475982","115.08000183105469"
"131.14137046622307","117.19999694824219"
"130.78009559766988","116.33999633789062"
"129.64532197208624","117.79000091552734"
"130.14898961416972","117.0199966430664"
"130.5309296262639","121.7699966430664"
"131.93656729501362","121.47000122070312"
"133.58918007467926","120.83999633789062"
"133.7583039778521","120.37999725341797"
"134.04632647194302","120.41000366210938"
"134.14809292857873","120.87000274658203"
"134.60593671686934","118.41999816894531"
"133.80783189908004","115.0999984741211"
"131.57002909795588","115.4000015258789"
"130.45128230766863","117.43000030517578"
"130.66290758851582","117.30999755859375"
"130.99123402063043","117.94999694824219"
"131.12251459185546","118.91000366210938"
"131.83957730899579","119.68000030517578"
"132.68473628361588","117.7699966430664"
"132.38945039618866","120.30999755859375"
"132.88906527532362","120.20999908447266"
"133.53816526314878","120.56999969482422"
"134.14288223335922","119.87000274658203"
"134.09793340793024","119.23999786376953"
"133.76456733877254","119.08999633789062"
"133.6265628653829","119.04000091552734"
"133.44512277350938","117.4000015258789"
"132.79502275326837","117.2699966430664"
"132.1631930620988","118.01000213623047"
"132.3150137728129","116.91999816894531"
"132.19291113066768","116.3499984741211"
