"predicts","actual"
"88.12412086408138","90.22000122070312"
"89.18820468659686","90.08000183105469"
"90.26890481934022","89.73999786376953"
"89.9151168330717","90.06999969482422"
"89.41597613030505","87.56999969482422"
"84.47079535770845","88.18000030517578"
"88.85646130997729","88.88999938964844"
"88.26382814918159","88.0999984741211"
"88.56272745730399","88.04000091552734"
"88.2823186512096","88.80999755859375"
"88.976295305197","88.87999725341797"
"89.0549713628062","90.25"
"89.79909978944492","88.87999725341797"
"89.53717577137911","88.91999816894531"
"89.31262130932784","89.56999969482422"
"89.47874441361081","88.98999786376953"
"89.44406043730986","89.01000213623047"
"88.87222623429595","87.66000366210938"
"88.18575206150841","89.12999725341797"
"89.21775749144506","89.66000366210938"
"89.34355690202855","90.04000091552734"
"89.89602064710832","91.66999816894531"
"90.6531198523637","87.76000213623047"
"88.28071873138022","86.62000274658203"
"87.64654479501485","88.52999877929688"
"88.3246936706903","91.11000061035156"
"90.12183790302491","92.86000061035156"
"91.35431328758143","93.06999969482422"
"92.4646805051608","93.37999725341797"
"92.60862757780885","93.56999969482422"
"92.79102986635566","93.86000061035156"
"93.22576236799145","94.95999908447266"
"93.66858589276433","94.5999984741211"
"93.87482698676872","94.22000122070312"
"93.77388347353434","93.6500015258789"
"93.22120259647774","93.20999908447266"
"92.77357931221675","93.48999786376953"
"92.71414229055571","93.76000213623047"
"93.0971973817029","94.05999755859375"
"92.91762352285444","95.25"
"93.99535808991408","94.26000213623047"
"93.64880402687406","94.44000244140625"
"93.41203303412568","93.06999969482422"
"92.76744247687125","93.69999694824219"
"92.78083609144282","92.7699966430664"
"92.2341891977427","93.20999908447266"
"92.31672220494055","93.79000091552734"
"92.86885453805566","93.51000213623047"
"92.64237445820974","105.87999725341797"
"101.18911190270042","107.97000122070312"
"103.01208341228056","107.9800033569336"
"104.1447809394784","109.05000305175781"
"105.55165901343489","108.62000274658203"
"105.33449846659505","110.9800033569336"
"106.6590149533354","109.88999938964844"
"106.25601229031562","110.95999908447266"
"106.69696162328839","110.77999877929688"
"106.93097275433111","111.91999816894531"
"107.39283532507348","110.94000244140625"
"106.85928491797661","110.80999755859375"
"106.67328280981373","110.83999633789062"
"106.47681836876666","111.16999816894531"
"106.59020125867438","110.45999908447266"
"106.10187144275474","110.68000030517578"
"106.23520190453505","109.76000213623047"
"105.59234268909597","109.91000366210938"
"105.55688160887789","110.1500015258789"
"105.69068633260763","112.08999633789062"
"106.74674198597931","113.05999755859375"
"107.5353310418763","112.68000030517578"
"107.51242933231877","113.16000366210938"
"108.05799628013408","114.08999633789062"
"108.66017181991207","113.94999694824219"
"108.56169104041504","114.76000213623047"
"109.12465711637472","114.19999694824219"
"108.92371289980542","109.97000122070312"
"106.33532260185719","111.63999938964844"
"106.38917133211422","108.16999816894531"
"104.68289111808896","108.56999969482422"
"104.47308448846482","109.55999755859375"
"104.97420223502063","109.54000091552734"
"104.60592354629755","110.63999938964844"
"106.09888302107346","111.83000183105469"
"106.93248125017023","112.06999969482422"
"106.92916713052368","113.08999633789062"
"108.24652969002699","111.36000061035156"
"107.0618233403759","110.95999908447266"
"106.87703260008382","113.2699966430664"
"107.7099622912519","113.41000366210938"
"108.18118439299607","111.87000274658203"
"107.23853448552966","112.7300033569336"
"107.57699752543257","113.12000274658203"
"107.70428257585763","112.93000030517578"
"107.65985051659631","112.91999816894531"
"107.79880355377698","113.11000061035156"
"107.90548392239951","115.31999969482422"
"108.78490271260952","117.04000091552734"
"110.89838537920666","112.83999633789062"
"108.59352944501948","111.7300033569336"
"107.49765864389407","110.7300033569336"
"106.32916291051411","111.0999984741211"
"106.67034581412696","111.2699966430664"
"106.38631433241892","112.56999969482422"
"107.6834493340795","112.77999877929688"
"107.68438642997955","112.05999755859375"
"107.46703732115984","110.4800033569336"
"106.23216205685925","113.37999725341797"
"107.73850943220734","110.9800033569336"
"107.14163648386382","106.66999816894531"
"103.28484117319094","104.91000366210938"
"102.31306701083064","105.05000305175781"
"101.89757925914239","107.13999938964844"
"102.48316134469007","103.9800033569336"
"101.93544021910452","105.44000244140625"
"101.67084204932391","105.06999969482422"
"102.36619577716445","106.20999908447266"
"102.9857304470911","108.52999877929688"
"104.9098397458849","109.44999694824219"
"105.55374462321245","109.11000061035156"
"104.17597366215169","108.76000213623047"
"105.29036924930143","109.16999816894531"
"105.06898605691194","109.30000305175781"
"105.60286216197407","113.08999633789062"
"107.20481046112633","112.75"
"108.06216178568982","115.19000244140625"
"109.04375831300258","116.12999725341797"
"110.18574680320954","118.54000091552734"
"112.32626240092361","119.87999725341797"
"112.47040946355033","120.16000366210938"
"113.3884548896408","120.2699966430664"
"113.62356310856651","119.4800033569336"
"112.8892799028778","120.33999633789062"
"113.36713024391507","117.6500015258789"
"111.7860494705373","114.16999816894531"
"109.75495696115327","114.58000183105469"
"109.15233001542342","114.0999984741211"
"108.77812590933227","115.72000122070312"
"109.48817032960605","118.0199966430664"
"111.1342021340568","118.79000091552734"
"111.96839461909019","118.23999786376953"
"112.255494518471","120.29000091552734"
"112.95023113437736","120.83000183105469"
"113.98268797026586","119.7699966430664"
"113.19655593410683","119.91000366210938"
"113.23786814970087","119.43000030517578"
"112.15801368886733","119.02999877929688"
"112.92856936268758","118.4000015258789"
"112.0293115665934","119.55999755859375"
"112.83120852707111","119.08999633789062"
"112.65095470229518","119.87999725341797"
"113.03802673501396","119.75"
"113.17500844240486","117.75"
"112.03907679155193","118.08000183105469"
