"predicts","actual"
"126.73506229873871","127.5"
"126.39752082230413","128.86000061035156"
"126.71757313460958","129.30999755859375"
"126.85511235296451","129.22000122070312"
"127.54311890327406","126.1500015258789"
"125.87691838391638","126.41000366210938"
"125.0853526062609","126.8499984741211"
"125.51421150389325","127.37999725341797"
"125.8824214136319","131.89999389648438"
"128.28666709420813","131.92999267578125"
"130.11269288478422","133.0"
"130.71632776268518","133.10000610351562"
"130.87479553874147","131.13999938964844"
"129.75368715749013","129.9199981689453"
"129.21591210093032","130.5"
"128.8127725623114","130.16000366210938"
"129.4489203624587","129.3699951171875"
"128.14747209700073","129.82000732421875"
"128.65801811382866","132.75"
"131.0212832678064","131.52000427246094"
"131.04788530304634","131.77000427246094"
"131.31438047438132","133.5500030517578"
"132.3717474572351","126.5199966430664"
"127.20026310721374","122.69999694824219"
"124.86901779427993","123.88999938964844"
"124.93467673068679","126.98999786376953"
"126.42672218684555","129.8699951171875"
"128.4148499445622","129.69000244140625"
"129.23355345061577","126.97000122070312"
"127.66219496993958","126.95999908447266"
"126.84158610072123","127.16999816894531"
"127.52048586734225","130.08999633789062"
"129.04540949108244","132.0399932861328"
"130.93175554875063","130.80999755859375"
"130.72629287291122","130.11000061035156"
"130.20959855960905","131.5500030517578"
"130.79592689604843","132.38999938964844"
"131.48199764608194","133.42999267578125"
"132.0711870709796","134.66000366210938"
"132.94359381613768","134.72000122070312"
"133.31216288378917","133.52999877929688"
"132.7526679046353","133.47000122070312"
"131.46011336308706","132.94000244140625"
"131.88683557550908","134.85000610351562"
"132.38560851770222","135.9600067138672"
"134.27592357467853","133.00999450683594"
"132.05126902537202","133.66000366210938"
"131.7926448910085","133.2100067138672"
"131.63754954687965","131.60000610351562"
"130.6180037184757","131.8699951171875"
"130.49358898249542","131.2100067138672"
"130.01877004686273","131.72999572753906"
"130.10758553751504","132.19000244140625"
"130.45864717877066","132.6199951171875"
"130.62326325130118","132.27999877929688"
"130.47342135257554","133.0"
"130.8566550204314","133.10000610351562"
"130.89608934177792","134.66000366210938"
"131.7117795738169","135.0"
"131.7463256950953","134.72000122070312"
"131.77548444768095","135.0"
"132.06509964872788","134.44000244140625"
"131.45514602652966","134.99000549316406"
"131.53960292284978","134.13999938964844"
"131.21458327398693","133.2899932861328"
"130.44765938160634","132.97999572753906"
"129.7784690534768","132.22999572753906"
"129.43196080406545","132.89999389648438"
"129.36241809226203","130.80999755859375"
"128.20548523105944","129.4499969482422"
"126.7053313284614","129.89999389648438"
"126.32637103102624","131.16000366210938"
"127.34308012066091","132.99000549316406"
"127.88068472939764","132.63999938964844"
"128.12131444358516","132.89999389648438"
"127.89337700479246","128.52999877929688"
"125.55034035495711","130.1199951171875"
"124.54092399717999","128.75999450683594"
"124.47741392082798","127.66999816894531"
"123.61814992031134","127.7699966430664"
"123.15235254445565","126.69999694824219"
"121.93221397801364","127.4800033569336"
"122.65191164856554","127.79000091552734"
"122.66002618242706","130.55999755859375"
"123.7504296058408","131.8699951171875"
"125.18292181011117","131.77999877929688"
"125.2867975834142","130.57000732421875"
"124.83995644045032","131.32000732421875"
"124.93641164602852","132.22999572753906"
"125.56692249317075","131.02999877929688"
"125.39693122679199","131.74000549316406"
"125.72480587669085","132.3800048828125"
"125.82843206568157","132.25"
"126.22377970381831","134.66000366210938"
"127.35022675438441","134.4199981689453"
"127.68115120283139","133.85000610351562"
"127.149311382967","135.83999633789062"
"128.61877858999418","133.74000549316406"
"127.49899726679374","133.16000366210938"
"127.11524008062423","133.3800048828125"
"126.40990872658634","133.5"
"127.36338167387032","134.0"
"127.32643710822475","135.10000610351562"
"128.20889418752037","136.17999267578125"
"128.82973212070465","135.83999633789062"
"128.80473107751692","135.6300048828125"
"128.4061023187865","137.4499969482422"
"129.8075730192622","139.02000427246094"
"130.41518907131575","145.5399932861328"
"132.452789309672","143.30999755859375"
"133.86637398042856","143.00999450683594"
"133.5381949594171","142.42999267578125"
"133.25925100957738","142.41000366210938"
"133.08765875114645","140.75"
"132.08238184050046","140.02000427246094"
"131.20148314130128","139.5399932861328"
"130.69947169047023","143.02999877929688"
"132.736335350734","142.1999969482422"
"132.55304306673526","145.08999633789062"
"133.6845000658145","147.69000244140625"
"136.2547619260391","148.52000427246094"
"136.6995211705929","149.99000549316406"
"137.7794177032002","148.11000061035156"
"137.0056028488307","146.44000244140625"
"136.15989553766858","145.3300018310547"
"135.31340903645827","146.35000610351562"
"135.36194405407107","147.02000427246094"
"136.38646330645466","149.52000427246094"
"137.48395857679165","149.74000549316406"
"138.2315670783676","150.0399932861328"
"138.48656919649136","149.77000427246094"
"137.8157717888874","151.63999938964844"
"138.991545221959","150.55999755859375"
"139.21832605052387","152.38999938964844"
"139.66073555008853","152.25"
"139.92445485687674","152.16000366210938"
"140.27217450331617","152.24000549316406"
"139.41736649588776","154.13999938964844"
"140.5758699120313","155.38999938964844"
"141.93702970235623","156.49000549316406"
"142.7114776486399","157.16000366210938"
"142.68702447345484","156.66000366210938"
"143.14157838041163","154.47000122070312"
"141.63728503068245","153.77000427246094"
"140.94505989675247","154.5"
"140.85606787085484","156.17999267578125"
"142.23077217568982","156.38999938964844"
"142.72714058609355","157.47999572753906"
"143.28252046780526","157.4600067138672"
"143.24567938833798","157.80999755859375"
"143.4722410697018","157.47999572753906"
"143.54301952822232","156.10000610351562"
"142.748458738819","155.69000244140625"
