"date","symbol","close"
"2010-01-04","GOOG","312.205308358"
"2010-01-05","GOOG","310.830458632"
"2010-01-06","GOOG","302.994812557"
"2010-01-07","GOOG","295.941242071"
"2010-01-08","GOOG","299.886469888"
"2010-01-11","GOOG","299.433161001"
"2010-01-12","GOOG","294.138016503"
"2010-01-13","GOOG","292.449323638"
"2010-01-14","GOOG","293.824173364"
"2010-01-15","GOOG","288.917548598"
"2010-01-19","GOOG","292.713331572"
"2010-01-20","GOOG","289.121803003"
"2010-01-21","GOOG","290.401987059"
"2010-01-22","GOOG","273.978527716"
"2010-01-25","GOOG","268.992221616"
"2010-01-26","GOOG","270.197698193"
"2010-01-27","GOOG","270.03830464"
"2010-01-28","GOOG","266.147856494"
"2010-01-29","GOOG","263.98098247"
"2010-02-01","GOOG","265.51522575"
"2010-02-02","GOOG","264.56878275"
"2010-02-03","GOOG","269.400669652"
"2010-02-04","GOOG","262.406883081"
"2010-02-05","GOOG","264.653468826"
"2010-02-08","GOOG","265.739408458"
"2010-02-09","GOOG","267.218872563"
"2010-02-10","GOOG","266.227568215"
"2010-02-11","GOOG","267.198944259"
"2010-02-12","GOOG","265.565060955"
"2010-02-16","GOOG","269.639774927"
"2010-02-17","GOOG","268.100557292"
"2010-02-18","GOOG","270.59619752"
"2010-02-19","GOOG","269.370792638"
"2010-02-22","GOOG","270.386999147"
"2010-02-23","GOOG","266.536406613"
"2010-02-24","GOOG","264.743129755"
"2010-02-25","GOOG","262.232536076"
"2010-02-26","GOOG","262.416862177"
"2010-03-01","GOOG","265.350857841"
"2010-03-02","GOOG","269.520237482"
"2010-03-03","GOOG","271.642281042"
"2010-03-04","GOOG","276.259995216"
"2010-03-05","GOOG","281.052026008"
"2010-03-08","GOOG","280.190269084"
"2010-03-09","GOOG","279.049520391"
"2010-03-10","GOOG","287.149173901"
"2010-03-11","GOOG","289.485420575"
"2010-03-12","GOOG","288.688422419"
"2010-03-15","GOOG","280.538963592"
"2010-03-16","GOOG","281.545191004"
"2010-03-17","GOOG","281.724512364"
"2010-03-18","GOOG","282.142939995"
"2010-03-19","GOOG","278.954885107"
"2010-03-22","GOOG","277.709551921"
